Pos|Titolo|Publisher|Anno|TitoloNorm|Link
489|The Mountain Witch|Timfire Publishing|2005|mountain witch|http://index.rpg.net/display-entry.phtml?mainid=4375
490|With Great Power...|Incarnadine Press|2005|with great power|http://index.rpg.net/display-entry.phtml?mainid=3739
508|Nine Worlds|Chimera Creative|2005|nine worlds|http://index.rpg.net/display-entry.phtml?mainid=5201
560|Cold Space|Flying Mice|2005|cold space|http://index.rpg.net/display-entry.phtml?mainid=525
566|WWE: Know Your Role|Comic Images|2005|wwe: know your role|http://index.rpg.net/display-entry.phtml?mainid=164
593|Star Thugs|GhazPORK Industrial|2005|star thugs|http://index.rpg.net/display-entry.phtml?mainid=227
654|Thirty|Wicked Dead Brewing Company|2005|thirty|http://index.rpg.net/display-entry.phtml?mainid=342
666|Valence|Valent Games|2005|valence|http://index.rpg.net/display-entry.phtml?mainid=13995
672|Complete Mafia for D20|Living Room Games|2005|complete mafia|http://index.rpg.net/display-entry.phtml?mainid=7941
691|Dark Tales and Disturbing Legends|Sword & Sorcery|2005|dark tales and disturbing legends|http://index.rpg.net/display-entry.phtml?mainid=1992
715|Bacchanal|Half Meme Press|2005|bacchanal|http://index.rpg.net/display-entry.phtml?mainid=7250
725|Year of the Zombie|UKG Publishing|2005|year of the zombie|http://index.rpg.net/display-entry.phtml?mainid=12464
731|Bloodsucker: The Angst|Postmortem Studios|2005|bloodsucker|http://index.rpg.net/display-entry.phtml?mainid=14915
737|WARS Roleplaying Game|Mongoose Publishing|2005|wars roleplaying game|http://index.rpg.net/display-entry.phtml?mainid=13042
770|Breaking the Ice|Black and Green Games|2005|breaking the ice|http://index.rpg.net/display-entry.phtml?mainid=5380
794|Mastering Iron Heroes|Sword & Sorcery / Malhavoc Press|2005|mastering iron heroes|http://index.rpg.net/display-entry.phtml?mainid=9978
806|World of Warcraft: The Roleplaying Game|Sword & Sorcery|2005|warcraft|http://index.rpg.net/display-entry.phtml?mainid=775
888|Etherscope|Goodman Games|2005|etherscope|http://index.rpg.net/display-entry.phtml?mainid=2342
933|Realm Antique|Better Mousetrap Games|2005|realm antique|http://index.rpg.net/display-entry.phtml?mainid=14986
934|Unsung|Ivanhoe Unbound|2005|unsung|http://index.rpg.net/display-entry.phtml?mainid=16724
944|Starship Troopers: The Roleplaying Game|Mongoose Publishing|2005|starship troopers|http://index.rpg.net/display-entry.phtml?mainid=3054
969|Dog Town|Cold Blooded Games|2005|dog town|http://index.rpg.net/display-entry.phtml?mainid=8885
991|Chaos U|FireWater Productions|2005|chaos u|http://index.rpg.net/display-entry.phtml?mainid=912
1017|Mascot-tan|Distant Star Games|2005|mascot-tan|http://index.rpg.net/display-entry.phtml?mainid=3606
1040|Tales from The Wood|Beyond Belief Games|2005|tales from the wood|http://index.rpg.net/display-entry.phtml?mainid=4478
1041|Rippers: The Horror Wars|Great White Games|2005|rippers|http://index.rpg.net/display-entry.phtml?mainid=6897
1048|Steam Warriors|Sword & Sorcery|2005|steam warriors|http://index.rpg.net/display-entry.phtml?mainid=1884
1063|Dare|Silver Branch Games|2005|dare|http://index.rpg.net/display-entry.phtml?mainid=10072
1081|Vanishing Point|Sane Studios|2005|vanishing point|http://index.rpg.net/display-entry.phtml?mainid=6517
1121|Modern Ops|Great White Games|2005|modern ops|http://index.rpg.net/display-entry.phtml?mainid=5868
1159|Living Legends|Uni Games|2005|living legends|http://index.rpg.net/display-entry.phtml?mainid=5480
1222|Hack-n-Slash|Digital Alchemy|2005|hack-n-slash|http://index.rpg.net/display-entry.phtml?mainid=8726
1229|Squirrel Attack: Operation Get Mr. Jones' Nuts|Hinterwelt Enterprises|2005|squirrel attack|http://index.rpg.net/display-entry.phtml?mainid=3895
1239|Jeremiah the Roleplaying Game|Mongoose Publishing|2005|jeremiah|http://index.rpg.net/display-entry.phtml?mainid=2963
1240|Broken Gears|Cambridge University Roleplaying Society|2005|broken gears|http://index.rpg.net/display-entry.phtml?mainid=5292
1251|Death's Door|Blank Shield Press|2005|death's door|http://index.rpg.net/display-entry.phtml?mainid=7109
1255|Discordia|Wicked Dead Brewing Company|2005|discordia|http://index.rpg.net/display-entry.phtml?mainid=7167
1270|Altus Adventum|Sacrosanct Games|2005|altus adventum|http://index.rpg.net/display-entry.phtml?mainid=5186
1289|Under the Bed|glyphpress|2005|under the bed|http://index.rpg.net/display-entry.phtml?mainid=13374
1324|Lejendary Adventure Essentials|Troll Lord Games|2005|lejendary adventure essentials|http://index.rpg.net/display-entry.phtml?mainid=9370
1325|The United Citizens' Federation|Mongoose Publishing|2005|united citizens' federation|http://index.rpg.net/display-entry.phtml?mainid=3620
1376|The Big Night|May Contain Monkeys|2005|big night|http://index.rpg.net/display-entry.phtml?mainid=4472
1387|...In Spaaace!|Greg Stolze|2005|...in spaaace!|http://index.rpg.net/display-entry.phtml?mainid=11710
1420|Reaper Madness|Fuquit Games|2005|reaper madness|http://index.rpg.net/display-entry.phtml?mainid=2607
1429|Lejendary Adventure Essentials Rulebook|Troll Lord Games|2005|lejendary adventure essentials rulebook|http://index.rpg.net/display-entry.phtml?mainid=9368
1474|Valherjar: The Chosen Slain|Game Monkey Press|2005|valherjar|http://index.rpg.net/display-entry.phtml?mainid=13675
1564|@ctiv8|Postmortem Studios|2005|@ctiv8|http://index.rpg.net/display-entry.phtml?mainid=16722
1690|Starquest Universal Rules|New Dimension Games|2005|starquest|http://index.rpg.net/display-entry.phtml?mainid=15771
1752|Phenomenon|New Dimension Games|2005|phenomenon|http://index.rpg.net/display-entry.phtml?mainid=15776
1757|Edward Abbot Abbot's Flatland, the RPG|Red Anvil Productions|2005|flatland|http://index.rpg.net/display-entry.phtml?mainid=14622
1788|Objective Interim Modern Combat System|SPQR Studios|2005|objective interim modern combat system|http://index.rpg.net/display-entry.phtml?mainid=16725
1822|State Secrets|Arcana Imperii|2005|state secrets|http://index.rpg.net/display-entry.phtml?mainid=14612
1857|Barbarians Versus|Mystic Ages Publishing|2005|barbarians versus|http://index.rpg.net/display-entry.phtml?mainid=16803
1984|Omni System|Morrigan Press|2005|omni system|http://index.rpg.net/display-entry.phtml?mainid=3458
1989|Albion|Silver Branch Games|2005|albion|http://index.rpg.net/display-entry.phtml?mainid=10084
2061|Alien Angels|Black Rabbit Games|2005|alien angels|http://index.rpg.net/display-entry.phtml?mainid=13523
2091|Rêve: the Dream Ouroboros|Malcontent Games|2005|rêve|http://index.rpg.net/display-entry.phtml?mainid=2752
2095|Schauermarchen|Wicked Dead Brewing Company|2005|schauermarchen|http://index.rpg.net/display-entry.phtml?mainid=9373
2128|Wraeththu: From Enchantment to Fulfilment|Immanion Press|2005|wraeththu|http://index.rpg.net/display-entry.phtml?mainid=9477
2|Spirit of the Century|Evil Hat Productions|2006|spirit of the century|http://index.rpg.net/display-entry.phtml?mainid=3441
17|Don't Rest Your Head|Evil Hat Productions|2006|don't rest your head|http://index.rpg.net/display-entry.phtml?mainid=3253
25|Faery's Tale|Firefly Games|2006|faery's tale|http://index.rpg.net/display-entry.phtml?mainid=2303
28|Hollow Earth Expedition|Exile Game Studio|2006|hollow earth expedition|http://index.rpg.net/display-entry.phtml?mainid=2327
63|Wild Talents|Arc Dream Publishing|2006|wild talents|http://index.rpg.net/display-entry.phtml?mainid=5325
65|Qin: The Warring States|7ème Cercle|2006|qin|http://index.rpg.net/display-entry.phtml?mainid=5486
88|AGON|one.seven design|2006|agon|http://index.rpg.net/display-entry.phtml?mainid=3454
108|The Zorcerer of Zo|Atomic Sock Monkey Press|2006|zorcerer of zo|http://index.rpg.net/display-entry.phtml?mainid=5299
116|Burning Empires|Luke Crane|2006|burning empires|http://index.rpg.net/display-entry.phtml?mainid=3392
119|Lacuna Part I. The Creation of the Mystery and the Girl from Blue City|Memento Mori Theatricks|2006|lacuna|http://index.rpg.net/display-entry.phtml?mainid=1484
129|Promethean: The Created|White Wolf Publishing|2006|promethean|http://index.rpg.net/display-entry.phtml?mainid=2845
133|Cold City|Contested Ground Studios|2006|cold city|http://index.rpg.net/display-entry.phtml?mainid=3567
156|Mythic Role Playing|Word Mill Games|2006|mythic|http://index.rpg.net/display-entry.phtml?mainid=7986
182|Conspiracy X|Eden Studios|2006|conspiracy|http://index.rpg.net/display-entry.phtml?mainid=1333
184|True20 Adventure Roleplaying|Green Ronin Publishing|2006|true20|http://index.rpg.net/display-entry.phtml?mainid=445
254|NEMESIS|Arc Dream Publishing|2006|nemesis|http://index.rpg.net/display-entry.phtml?mainid=4440
266|The Shab-al-Hiri Roach|Bully Pulpit Games|2006|shab-al-hiri|http://index.rpg.net/display-entry.phtml?mainid=5270
271|Midway City|ZMan Games|2006|midway city|http://index.rpg.net/display-entry.phtml?mainid=4555
272|Passages|Blue Devil Games|2006|passages|http://index.rpg.net/display-entry.phtml?mainid=4910
278|Forgotten Futures|Heliograph|2006|forgotten futures|http://index.rpg.net/display-entry.phtml?mainid=3150
281|In Dark Alleys|Vajra Enterprises|2006|dark alleys|http://index.rpg.net/display-entry.phtml?mainid=10431
282|Cat|Wicked Dead Brewing Company|2006|cat|http://index.rpg.net/display-entry.phtml?mainid=2411
298|Shock: Social Science Fiction|glyphpress|2006|shock|http://index.rpg.net/display-entry.phtml?mainid=3252
304|Gunslingers and Gamblers|FJGaming|2006|gunslingers and gamblers|http://index.rpg.net/display-entry.phtml?mainid=1534
306|The Chronicles of Ramlar|White Silver Publishing|2006|chronicles of ramlar|http://index.rpg.net/display-entry.phtml?mainid=3255
308|Mazes & Minotaurs|Legendary Games Studio|2006|mazes & minotaurs|http://index.rpg.net/display-entry.phtml?mainid=115
348|Contenders|Prince of Darkness Games|2006|contenders|http://index.rpg.net/display-entry.phtml?mainid=5173
352|OVA: Open Versatile Anime Role-Playing Game|Wise Turtle Publishing|2006|ova|http://index.rpg.net/display-entry.phtml?mainid=4908
393|The Esoterrorists|Pelgrane Press|2006|esoterrorists|http://index.rpg.net/display-entry.phtml?mainid=5360
411|Best Friends|Box Ninja|2006|best friends|http://index.rpg.net/display-entry.phtml?mainid=5236
413|Mortal Coil|Galileo Games|2006|mortal coil|http://index.rpg.net/display-entry.phtml?mainid=5313
421|Panty Explosion|Atarashi Games|2006|panty explosion|http://index.rpg.net/display-entry.phtml?mainid=6401
422|Coyote Trail Expanded|Politically Incorrect Games|2006|coyote trail expanded|http://index.rpg.net/display-entry.phtml?mainid=3940
441|Story Engine Universal Rules|Politically Incorrect Games|2006|story engine|http://index.rpg.net/display-entry.phtml?mainid=2957
447|Full Light, Full Steam|Kallisti Press|2006|full light, full steam|http://index.rpg.net/display-entry.phtml?mainid=5265
487|The Princes' Kingdom|CRN Games|2006|princes' kingdom|http://index.rpg.net/display-entry.phtml?mainid=4451
494|Noumenon|Abstract Nova|2006|noumenon|http://index.rpg.net/display-entry.phtml?mainid=3570
519|Super Console|Valent Games|2006|super console|http://index.rpg.net/display-entry.phtml?mainid=8357
525|Kobolds Ate My Baby!|Dork Storm Press|2006|kobolds ate my baby|http://index.rpg.net/display-entry.phtml?mainid=3645
597|The Edge Of Midnight|Studio 2|2006|edge of midnight|http://index.rpg.net/display-entry.phtml?mainid=3452
605|Cadwallon|Rackham|2006|cadwallon|http://index.rpg.net/display-entry.phtml?mainid=3258
610|EarthAD.2|Precis Intermedia Gaming|2006|earthad.2|http://index.rpg.net/display-entry.phtml?mainid=8068
621|In Harm's Way: A Napoleonic Naval Roleplaying Game|Flying Mice|2006|in harm's way|http://index.rpg.net/display-entry.phtml?mainid=2635
662|Shooting the Moon|Black and Green Games|2006|shooting the moon|http://index.rpg.net/display-entry.phtml?mainid=5381
671|Covenant: A Story Game of Failing Conspiracies|Realms Publishing|2006|covenant|http://index.rpg.net/display-entry.phtml?mainid=3505
695|Questers of the Middle Realms|Silver Branch Games|2006|questers of the middle realms|http://index.rpg.net/display-entry.phtml?mainid=529
719|Rune Stryders|Politically Incorrect Games|2006|rune stryders|http://index.rpg.net/display-entry.phtml?mainid=4667
745|Myriad|Sane Studios|2006|myriad|http://index.rpg.net/display-entry.phtml?mainid=18187
746|Primitive|Kevin Allen Jr. Design|2006|primitive|http://index.rpg.net/display-entry.phtml?mainid=13760
781|Wilderness of Mirrors|Wicked Dead Brewing Company|2006|wilderness of mirrors|http://index.rpg.net/display-entry.phtml?mainid=5291
820|Mars: The Roleplaying Game of Planetary Romance|Adamant Entertainment|2006|mars|http://index.rpg.net/display-entry.phtml?mainid=9480
854|Zen and the Art of Mayhem|PANIC Studios|2006|zen and the art of mayhem|http://index.rpg.net/display-entry.phtml?mainid=5550
901|FTL Now|Flying Mice|2006|ftl now|http://index.rpg.net/display-entry.phtml?mainid=576
971|Warlords of the Accordlands|AEG|2006|warlords of the accordlands|http://index.rpg.net/display-entry.phtml?mainid=1072
1028|The Terran Trade Authority Roleplaying Game|Morrigan Press|2006|terran trade|http://index.rpg.net/display-entry.phtml?mainid=4575
1037|Carry: A Game about War|Hamsterprophet Productions|2006|carryr|http://index.rpg.net/display-entry.phtml?mainid=4620
1072|Snakes On A Plane: The Roleplaying Game|RPG.net|2006|snakes on a plane|http://index.rpg.net/display-entry.phtml?mainid=19608
1073|Blood!|Postmortem Studios|2006|blood|http://index.rpg.net/display-entry.phtml?mainid=9247
1089|The Battleaxe RPG|Sixteen Coal Black Horses|2006|battleaxe|http://index.rpg.net/display-entry.phtml?mainid=4445
1103|Guardians of Metro City|Teddy Bear Press|2006|guardians of metro city|http://index.rpg.net/display-entry.phtml?mainid=13143
1128|Covert Generation|Hefty Wrenches Game Design|2006|covert generation|http://index.rpg.net/display-entry.phtml?mainid=7803
1169|Heimot|Ironspine|2006|heimot|http://index.rpg.net/display-entry.phtml?mainid=3991
1186|Unistat|Plague Monkey Games|2006|unistat|http://index.rpg.net/display-entry.phtml?mainid=8003
1215|Odyssey Prime|Misfit Studios / Eden Studios|2006|odyssey prime|http://index.rpg.net/display-entry.phtml?mainid=1951
1216|seven13: Cycle of Existence|Broken Doll Studios|2006|seven13|http://index.rpg.net/display-entry.phtml?mainid=2328
1217|A Thousand and One Nights: A Game of Enticing Stories|Night Sky Games|2006|thousand and one nights|http://index.rpg.net/display-entry.phtml?mainid=4661
1271|Abeo|Insomnium Games|2006|abeo|http://index.rpg.net/display-entry.phtml?mainid=2701
1278|Timestream|Hamsterprophet Productions|2006|timestream|http://index.rpg.net/display-entry.phtml?mainid=3887
1287|Steal 2.0: A Modern Crime RPG|Spyglass Productions|2006|steal 2.0|http://index.rpg.net/display-entry.phtml?mainid=6404
1318|Hi/Lo Heroes|1KM1KT|2006|hi/lo heroes|http://index.rpg.net/display-entry.phtml?mainid=537
1332|Fantasy Sagas|Ironwood Omnimedia Company|2006|fantasy sagas|http://index.rpg.net/display-entry.phtml?mainid=2291
1363|HDL Basic Rules|Tremorworks|2006|hdl basic rules|http://index.rpg.net/display-entry.phtml?mainid=5721
1403|Lodestar|Ironwood Omnimedia Company|2006|game master lodestar|http://index.rpg.net/display-entry.phtml?mainid=2292
1430|'45 Psychobilly Retropocalypse|Postmortem Studios|2006|psychobilly retropocalypse|http://index.rpg.net/display-entry.phtml?mainid=16924
1433|AssassinX|EN Publishing|2006|assassinx|http://index.rpg.net/display-entry.phtml?mainid=6400
1445|Kid Universe|Tower Ravens|2006|kid universe|http://index.rpg.net/display-entry.phtml?mainid=4554
1500|NeoExodus Adventur|LPJ Design|2006|neoexodus adventure|http://index.rpg.net/display-entry.phtml?mainid=14528
1531|It Was a Mutual Decision|Adept Press|2006|it was a mutual decision|http://index.rpg.net/display-entry.phtml?mainid=18031
1551|Baba Yaga: The Secret War|Distant Horizons Games|2006|baba yagar|http://index.rpg.net/display-entry.phtml?mainid=17070
1559|Liquid Crystal|Sane Studios|2006|liquid crystal|http://index.rpg.net/display-entry.phtml?mainid=16609
1586|DreamCatcher|Sane Studios|2006|dreamcatcher|http://index.rpg.net/display-entry.phtml?mainid=16608
1626|Playin' in the Streets|Inner City Games|2006|playin' in the streets|http://index.rpg.net/display-entry.phtml?mainid=11527
1629|Supers Inc.|Hinterwelt Enterprises|2006|supers inc.|http://index.rpg.net/display-entry.phtml?mainid=9949
1714|To Be a Hero|Venture Land Games|2006|to be a hero|http://index.rpg.net/display-entry.phtml?mainid=14199
1723|Master Codex: Modern Pulp Adventures|OtherWorld Creations|2006|master codex|http://index.rpg.net/display-entry.phtml?mainid=16168
1728|Mundi Animalia|Red Anvil Productions|2006|mundi animalia|http://index.rpg.net/display-entry.phtml?mainid=14629
1732|Drowning & Falling|Bully Pulpit Games|2006|drowning & falling|http://index.rpg.net/display-entry.phtml?mainid=14000
1737|Vanilla ORC|Vajra Enterprises|2006|vanilla orc|http://index.rpg.net/display-entry.phtml?mainid=15290
1746|Modern-ORC|Vajra Enterprises|2006|modern-orc|http://index.rpg.net/display-entry.phtml?mainid=15289
1815|The Pneumaphagoi|Highmoon Games|2006|pneumaphagoi|http://index.rpg.net/display-entry.phtml?mainid=16136
1971|Daemornia|Studios|2006|daemornia|http://index.rpg.net/display-entry.phtml?mainid=3531
1974|Hero's Banner: The Fury of Free Will|TCK Roleplaying|2006|hero's banner|http://index.rpg.net/display-entry.phtml?mainid=4954
1978|Star Wreck Roleplaying Game|Energia Productions|2006|star wreck|http://index.rpg.net/display-entry.phtml?mainid=8393
2015|Bust: Explosive Roleplaying|Cold Blooded Games|2006|bust|http://index.rpg.net/display-entry.phtml?mainid=8532
2059|The Secret Lives of Gingerbread Men|Wicked Dead Brewing Company|2006|gingerbread men|http://index.rpg.net/display-entry.phtml?mainid=4474
2081|Fantasy Imperium|Shadowstar Games|2006|fantasy imperium|http://index.rpg.net/display-entry.phtml?mainid=4059
2083|Legends of Alyria|Dark Omen Games|2006|legends of alyria|http://index.rpg.net/display-entry.phtml?mainid=5238
2116|ORX: Nasty, Brutish & Short|Wild Hunt Studios|2006|orxt|http://index.rpg.net/display-entry.phtml?mainid=7062
2118|Hearts & Souls|Silver Lion Studios|2006|hearts & souls|http://index.rpg.net/display-entry.phtml?mainid=6617
11|Monsters and Other Childish Things|Arc Dream Publishing|2007|monsters and other childish things|http://index.rpg.net/display-entry.phtml?mainid=7918
38|Reign|Schröedinger's Cat Press|2007|reign|http://index.rpg.net/display-entry.phtml?mainid=7048
46|Changeling: The Lost|White Wolf Publishing|2007|changeling|http://index.rpg.net/display-entry.phtml?mainid=7835
75|CthulhuTech|Mongoose Publishing / WildFire|2007|cthulhutech|http://index.rpg.net/display-entry.phtml?mainid=8834
95|Aces & Eights: Shattered Frontier|Kenzer & Company|2007|aces & eights|http://index.rpg.net/display-entry.phtml?mainid=7471
112|The Savage World of Solomon Kane|Pinnacle|2007|solomon kane|http://index.rpg.net/display-entry.phtml?mainid=8345
175|Lesser Shades of Evil|Eos Press|2007|lesser shades of evil|http://index.rpg.net/display-entry.phtml?mainid=6684
195|Labyrinth Lord|Goblinoid Games|2007|labyrinth lord|http://index.rpg.net/display-entry.phtml?mainid=8568
210|Witch Hunter: The Invisible World|Paradigm Concepts|2007|witch hunter|http://index.rpg.net/display-entry.phtml?mainid=7964
273|In a Wicked Age|Lumpley Games|2007|in a wicked age|http://index.rpg.net/display-entry.phtml?mainid=9261
275|Dirty Secrets|Dark Omen Games|2007|dirty secrets|http://index.rpg.net/display-entry.phtml?mainid=7968
289|Grey Ranks|Bully Pulpit Games|2007|grey ranks|http://index.rpg.net/display-entry.phtml?mainid=7967
301|Unhallowed Metropolis|Eos Press|2007|unhallowed metropolis|http://index.rpg.net/display-entry.phtml?mainid=9002
340|Poison'd|Lumpley Games|2007|poison'd|http://index.rpg.net/display-entry.phtml?mainid=11736
341|Against the Darkness|Tabletop Adventures|2007|against the darkness|http://index.rpg.net/display-entry.phtml?mainid=8766
366|Beast Hunters|Berengad Games|2007|beast hunters|http://index.rpg.net/display-entry.phtml?mainid=5983
455|The Princess Game|Valent Games|2007|princess game|http://index.rpg.net/display-entry.phtml?mainid=10712
465|Scion: Hero|White Wolf Publishing|2007|scion|http://index.rpg.net/display-entry.phtml?mainid=6088
466|Battlestar Galactica Role Playing Game|Margaret Weis Productions|2007|battlestar galactica|http://index.rpg.net/display-entry.phtml?mainid=9895
469|Broadsword|Deep7|2007|broadsword|http://index.rpg.net/display-entry.phtml?mainid=10002
482|The Committee for the Exploration of Mysteries|Eric J. Boyd Designs|2007|committee for the exploration of mysteries|http://index.rpg.net/display-entry.phtml?mainid=7908
493|Pirates of the Spanish Main|Great White Games|2007|pirates of the spanish main|http://index.rpg.net/display-entry.phtml?mainid=6771
518|StrikeForce:2136 Strike Manual|RoleplayersINK|2007|strikeforce|http://index.rpg.net/display-entry.phtml?mainid=7444
528|Fear Itself|Pelgrane Press|2007|fear itself|http://index.rpg.net/display-entry.phtml?mainid=7563
530|Aeternal Legends|Mob United Media|2007|aeternal legends|http://index.rpg.net/display-entry.phtml?mainid=8191
567|Aletheia|Abstract Nova|2007|aletheia|http://index.rpg.net/display-entry.phtml?mainid=7894
620|The Supercrew|Kaleidoskop|2007|supercrew|http://index.rpg.net/display-entry.phtml?mainid=8117
648|Metal, Magic and Lore|5th Epoch Publishing|2007|metal, magic and lore|http://index.rpg.net/display-entry.phtml?mainid=14566
676|Trials of the Grail|Primeval Games Press|2007|trials of the grail|http://index.rpg.net/display-entry.phtml?mainid=14966
687|Elric of Melniboné|Mongoose Publishing|2007|elric of melniboné|http://index.rpg.net/display-entry.phtml?mainid=8020
726|Modern20|RPGObjects|2007|modern20|http://index.rpg.net/display-entry.phtml?mainid=9175
803|Forward... to Adventure!|Flying Mice / Better Mousetrap Games|2007|forward to adventure|http://index.rpg.net/display-entry.phtml?mainid=7957
808|Piledrivers & Powerbombs|Prince of Darkness Games|2007|piledrivers & powerbombs|http://index.rpg.net/display-entry.phtml?mainid=7108
811|Boomtown Planet - Saturday Edition|Timeless Games/Better Mousetrap Games|2007|boomtown planet|http://index.rpg.net/display-entry.phtml?mainid=8879
883|Mythweaver|Teddy Bear Press|2007|mythweaver|http://index.rpg.net/display-entry.phtml?mainid=7354
905|vs. Outlaws|Ronin Arts|2007|vs. outlaws|http://index.rpg.net/display-entry.phtml?mainid=5985
912|Classroom Deathmatch|Atarashi Games|2007|classroom deathmatch|http://index.rpg.net/display-entry.phtml?mainid=6402
973|Icar Elements|Rob Lang|2007|icar elements|http://index.rpg.net/display-entry.phtml?mainid=9045
984|Prophecy|Relentless Publishing|2007|prophecy|http://index.rpg.net/display-entry.phtml?mainid=10489
1003|Warcosm|Precis Intermedia Gaming|2007|warcosm|http://index.rpg.net/display-entry.phtml?mainid=10771
1005|Opening The Dark|Mob United Media|2007|opening the dark|http://index.rpg.net/display-entry.phtml?mainid=13167
1100|Divinity|AGES Gaming|2007|divinity|http://index.rpg.net/display-entry.phtml?mainid=5549
1123|Colonial Gothic Rulebook|Rogue Games|2007|colonial gothic|http://index.rpg.net/display-entry.phtml?mainid=7434
1132|G.O.R.E.|Goblinoid Games|2007|g.o.r.e.|http://index.rpg.net/display-entry.phtml?mainid=9842
1173|Æther|Æther Gaming Systems|2007|æther|http://index.rpg.net/display-entry.phtml?mainid=5653
1180|Guardian OmegaVerse|Dilly Green Bean Games|2007|guardian omegaverse|http://index.rpg.net/display-entry.phtml?mainid=6620
1181|Guardian Universe II: Power Overwhelming|Dilly Green Bean Games|2007|guardian universe ii|http://index.rpg.net/display-entry.phtml?mainid=6619
1196|Shadow Nations|Apophis Consortium|2007|shadow nations|http://index.rpg.net/display-entry.phtml?mainid=8112
1236|Medieval Mysteries|Heyoka Studios|2007|medieval mysteries|http://index.rpg.net/display-entry.phtml?mainid=14280
1242|Septimus|West End Games|2007|septimus|http://index.rpg.net/display-entry.phtml?mainid=10438
1273|Sláine|Mongoose Publishing|2007|sláine|http://index.rpg.net/display-entry.phtml?mainid=9298
1281|Factions at War|Other Court Games|2007|factions at war|http://index.rpg.net/display-entry.phtml?mainid=8577
1296|2320 AD|QuikLink Interactive|2007|2320 ad|http://index.rpg.net/display-entry.phtml?mainid=11691
1313|Urchin|Clint Krause|2007|urchin|http://index.rpg.net/display-entry.phtml?mainid=9475
1330|eFuture Tiles: Future File XEC|SkeletonKey Games|2007|efuture tilesc|http://index.rpg.net/display-entry.phtml?mainid=12389
1341|Way out Waste|House Woelf Productions|2007|way out waste|http://index.rpg.net/display-entry.phtml?mainid=6521
1348|Brotherhood of the Celestial Torch|Margaret Weis Productions|2007|brotherhood of the celestial torch|http://index.rpg.net/display-entry.phtml?mainid=9907
1349|New Gods of Mankind|Dark Skull Studios|2007|new gods of mankind|http://index.rpg.net/display-entry.phtml?mainid=10469
1426|Swords of Fortune|Wheel of Samsara|2007|swords of fortune|http://index.rpg.net/display-entry.phtml?mainid=10981
1449|XSW: Impact|Rogue Games|2007|xsw: impact|http://index.rpg.net/display-entry.phtml?mainid=9267
1471|Dice & Glory|Ranger Games|2007|dice & glory|http://index.rpg.net/display-entry.phtml?mainid=5941
1580|Iridium|Hinterwelt Enterprises|2007|iridium|http://index.rpg.net/display-entry.phtml?mainid=9942
1633|Valour Shield|Dylan Hyatt|2007|valour shield|http://index.rpg.net/display-entry.phtml?mainid=7928
1671|Dash-in Dungeons|Wednesday Night Games|2007|dash-in dungeons|http://index.rpg.net/display-entry.phtml?mainid=13676
1833|The River of Light|Red Anvil Productions|2007|river of light|http://index.rpg.net/display-entry.phtml?mainid=14626
1855|The Shadow Project|Cutter's Guild Games|2007|shadow project|http://index.rpg.net/display-entry.phtml?mainid=19226
1882|Mhâr Fantasy|Fool's Moon Entertainment|2007|mhâr|http://index.rpg.net/display-entry.phtml?mainid=18079
2020|Bliss Stage: Ignition Stage|TAO Games|2007|bliss stage|http://index.rpg.net/display-entry.phtml?mainid=7985
2086|Mob Justice|Contested Ground Studios|2007|mob justice|http://index.rpg.net/display-entry.phtml?mainid=8065
2103|Fae Noir|Green Fairy Games|2007|fae noir|http://index.rpg.net/display-entry.phtml?mainid=10714
2117|Steal Away Jordan|Stone Baby Games|2007|steal away jordan|http://index.rpg.net/display-entry.phtml?mainid=7904
2124|Creations End|Angelic Games|2007|creations end|http://index.rpg.net/display-entry.phtml?mainid=13513
2135|Ruby|Fire  Designs|2007|ruby|http://index.rpg.net/display-entry.phtml?mainid=5931
7|Mouse Guard Roleplaying Game|Archaia Studios Press|2008|mouse guard|http://index.rpg.net/display-entry.phtml?mainid=11306
18|Starblazer Adventures|Cubicle 7 Entertainment|2008|starblazer|http://index.rpg.net/display-entry.phtml?mainid=10613
56|Dark Heresy|Black Industries|2008|dark heresy|http://index.rpg.net/display-entry.phtml?mainid=8579
61|Hellas: Worlds of Sun and Stone|Khepera Publishing / aethereal FORGE|2008|hellas|http://index.rpg.net/display-entry.phtml?mainid=11497
89|Dragon Warriors|Mongoose Publishing|2008|dragon warriors|http://index.rpg.net/display-entry.phtml?mainid=11118
99|Trail of Cthulhu|Pelgrane Press|2008|trail of cthulhu|http://index.rpg.net/display-entry.phtml?mainid=9548
104|Houses of the Blooded|Wicked Dead Brewing Company|2008|houses of the blooded|http://index.rpg.net/display-entry.phtml?mainid=10878
135|Hot War|Contested Ground Studios|2008|hot war|http://index.rpg.net/display-entry.phtml?mainid=10497
167|Wayfarers|Ye Olde Gaming Companye|2008|wayfarers|http://index.rpg.net/display-entry.phtml?mainid=10774
188|Pathfinder Roleplaying Game|Paizo Publishing|2008|pathfinder|http://index.rpg.net/display-entry.phtml?mainid=9744
196|Apocalypse Prevention, Inc.|Third Eye Games|2008|apocalypse prevention|http://index.rpg.net/display-entry.phtml?mainid=11131
199|Rocketship Empires 1936|StoryART Games|2008|rocketship empires|http://index.rpg.net/display-entry.phtml?mainid=9975
204|3:16 Carnage Amongst The Stars|Box Ninja|2008|3:16 |http://index.rpg.net/display-entry.phtml?mainid=10584
